id,message,score
1650,You're a whole W in my book.,59
1651,"That's a slay, no cap.",21
1652,"Your 'fit was fire today, no cap.",44
1653,I stan your work ethic.,24
1654,That was a great presentation,36
1655,I need the files by Friday,11
1656,Hope your day is going well!,31
1657,"Just saying, you're not like everyone else.",51
1658,"I'm lowkey catching feelings, lol.",48
1659,Can we work on the project together?,1
1660,You have a mad good aura.,57
1661,Just thinking about you makes me smile like a clown.,91
1662,"Your energy is so attractive, it's wild.",78
1663,You make work more enjoyable,54
1664,You're my favorite notification.,74
1665,Let's discuss this in detail tomorrow,4
1666,"Your smile hits different, for real.",71
1667,You're the prettiest girl in the room,98
1668,I think I'm starting to like you a lot 💕,93
1669,You're such a sweetheart 💕,92
1670,"That was a whole mood, lol.",37
1671,You're the girl of my dreams,94
1672,I can't get you out of my mind,93
1673,You're absolutely radiant,73
1674,"You're my favorite person to stalk... I mean, talk to. 😉",94
1675,I can't get over how good you look.,85
1676,"That was a whole mood, lol.",28
1677,I can't get you out of my mind,92
1678,You're really easy to talk to,61
1679,You're such a sweetheart 💕,96
1680,The meeting has been moved to 3 PM,4
1681,You looked fire 🔥 today,76
1682,"Stop making me blush, you're too cute.",82
1683,"You're my everything, periodt. ❤️",99
1684,We should do this more often,47
1685,Have you seen the latest updates?,8
1686,Your eyes are mesmerizing 👀,94
1687,I had fun hanging out with you,63
1688,You're giving me all the feels. ❤️,87
1689,I keep thinking about you 😘,91
1690,"I'm not even trying to rizz you up, but you're a vibe.",70
1691,"Wow, you're absolutely gorgeous 😍",95
1692,"I'm not trying to be delulu, but I think you're stunning.",72
1693,You're everything I've been looking for,92
1694,I'm lowkey obsessed with you.,76
1695,You looked like a whole snack today.,55
1696,You're giving me all the feels. ❤️,82
1697,"Stop making me blush, you're too cute.",82
1698,"I'm not even playing, you're a perfect 10.",75
1699,Wanna watch a movie at my place?,87
1700,That dress suits you so well,73
1701,That was a great presentation,19
1702,We have so much in common,51
1703,Wanna grab lunch sometime?,50
1704,"On God, you're a good person.",36
1705,You're a goddess 👑,98
1706,You make work more enjoyable,64
1707,You have the most beautiful laugh,81
1708,I admire how talented you are,49
1709,"I'm not gonna lie, you're pretty cool. 😉",70
1710,You looked like a whole snack today.,51
1711,"You're my favorite person to stalk... I mean, talk to. 😉",95
1712,Let's go for coffee sometime ☕,57
1713,I'd love to spend more time with you ❤️,92
1714,"Wow, you're absolutely gorgeous 😍",94
1715,You're really fun to be around,60
1716,"I'm simping hard for you, no cap.",93
1717,"If you're ever free, I'm dtf... to define the relationship. 😉",83
1718,You have a mad good aura.,70
1719,You looked so hot yesterday 🔥,99
1720,I want to be your sneaky link and your forever link.,99
1721,Can we schedule a call for next week?,10
1722,You're giving main character energy.,54
1723,That's so thoughtful of you,34
1724,You have such a warm personality,41
1725,Can you send me the report by tonight?,9
1726,Wanna grab lunch sometime?,61
1727,I think about you when I'm bored. And when I'm not. 😉,79
1728,You're the girl of my dreams,91
1729,"You have so much rizz, it's not fair.",71
1730,The deadline is approaching,12
1731,"Good morning, hope you have a great day!",38
1732,Lowkey glad we're on the same team.,24
1733,You're a goddess 👑,97
1734,Please review the attached document,4
1735,You're so cute when you laugh,76
1736,"Wow, you're absolutely gorgeous 😍",91
1737,I'm falling for you hard,95
1738,You're so photogenic,71
1739,Thanks for the reminder,4
1740,Hope you're having a good week,31
1741,Did you get my email?,10
1742,You have such pretty hair,87
1743,I love your positive energy,28
1744,You're absolutely divine,99
1745,That color looks amazing on you,76
1746,You have a great sense of humor,31
1747,You looked fire 🔥 today,86
1748,I appreciate your advice,26
1749,"Your 'fit was fire today, no cap.",47
1750,"Good morning, hope you have a great day!",34
1751,You're really fun to be around,41
1752,Please confirm your attendance,11
1753,"Your energy is so attractive, it's wild.",90
1754,You have such pretty hair,71
1755,"You're my favorite person to stalk... I mean, talk to. 😉",96
1756,You did really well on that project,17
1757,I'd go delulu for you.,92
1758,Your smile is contagious,72
1759,"You're my favorite person to stalk... I mean, talk to. 😉",95
1760,"Your energy is so attractive, it's wild.",75
1761,You're driving me crazy in the best way,100
1762,That color looks amazing on you,72
1763,You look incredible today,85
1764,"Good morning, hope you have a great day!",34
1765,I always look forward to seeing you,61
1766,You brighten up the room,70
1767,You're really easy to talk to,53
1768,Thanks for helping me out,20
1769,"I'm not even trying to rizz you up, but you're a vibe.",63
1770,Thanks for the reminder,13
1771,Your eyes are mesmerizing 👀,93
1772,"I'm not even trying to rizz you up, but you're a vibe.",63
1773,I'd love to spend more time with you ❤️,92
1774,"Thanks for the tea, spill it all! ☕",32
1775,The meeting has been moved to 3 PM,15
1776,Can you help me with this task?,3
1777,I'm addicted to you and I'm not looking for a cure.,97
1778,You looked so hot yesterday 🔥,97
1779,"I'm not even trying to rizz you up, but you're a vibe.",70
1780,I enjoy our conversations,39
1781,This convo is lowkey a good vibe.,23
1782,I love your positive energy,32
1783,You looked like a whole snack today.,50
1784,We should do this more often,49
1785,You're giving main character energy.,56
1786,"I hope this isn't a situationship, because I want you all to myself.",93
1787,Thanks for helping me out,22
1788,Let's go for coffee sometime ☕,49
1789,Let's discuss this in detail tomorrow,4
1790,Let's hang out soon,56
1791,Let's hang out soon,59
1792,You're very insightful,40
1793,You make me feel so special,95
1794,"I'm not trying to be delulu, but I think you're stunning.",75
1795,Hope you're having a good week,25
1796,Want to catch a movie this weekend?,66
1797,I need the files by Friday,12
1798,You're so cute when you laugh,76
1799,"You're my everything, periodt. ❤️",98
1800,I enjoy our conversations,22
1801,Just thinking about you makes me smile like a clown.,92
1802,Let me know if you need any clarification,15
1803,The meeting has been moved to 3 PM,13
1804,Can you help me with this task?,13
1805,"Wow, you're absolutely gorgeous 😍",91
1806,You have great taste in music,62
1807,You're the best thing that happened to me ❤️,100
1808,"That's so real, fr fr.",24
1809,You have a mad good aura.,42
1810,The deadline is approaching,0
1811,That was a great presentation,18
1812,This convo is lowkey a good vibe.,32
1813,You've got the most beautiful smile 😊,90
1814,Did you get my email?,1
1815,Thanks for the reminder,1
1816,You're the girl of my dreams,96
1817,I had fun hanging out with you,46
1818,Don't forget about tomorrow's meeting,13
1819,We have so much in common,61
1820,You're giving me all the feels. ❤️,72
1821,I enjoy our conversations,17
1822,"Your 'fit was fire today, no cap.",70
1823,I appreciate your advice,37
1824,You looked fire 🔥 today,79
1825,Your eyes are mesmerizing 👀,92
1826,I stan your work ethic.,17
1827,Let me know if you need any clarification,11
1828,You have such a warm personality,52
1829,"Stop making me blush, you're too cute.",76
1830,I can't stop smiling when I'm with you,75
1831,My day was mid until I saw your text.,65
1832,"That's a slay, no cap.",21
1833,Just dropping in to say hey! 👋,39
1834,Can you send me the report by tonight?,9
1835,"I'm not even playing, you're a perfect 10.",75
1836,You look incredible today,73
1837,You're really talented,24
1838,You're the girl of my dreams,91
1839,"I'm on a no-rizz streak, but you're making it hard.",45
1840,What's the vibe today? 😊,21
1841,You're really talented,38
1842,We have so much in common,60
1843,That color looks amazing on you,78
1844,You have such beautiful features,71
1845,This convo is lowkey a good vibe.,32
1846,Can't believe I found someone as perfect as you.,94
1847,You have great taste in music,58
1848,You're giving me all the feels. ❤️,73
1849,Thanks for helping me out,23
1850,I'm highkey excited to see you.,70
1851,I'm falling for you hard,93
1852,Your smile is contagious,81
1853,Hope your day is bussin' 🙌,32
1854,"Hey, how are you doing?",29
1855,"You're my biggest W, for real.",96
1856,Wanna grab a drink tonight?,62
1857,You're so photogenic,77
1858,You look amazing in that dress,84
1859,"Good morning, hope you have a great day!",34
1860,Let's hang out soon,62
1861,I admire how talented you are,48
1862,You always make me laugh,69
1863,You always make me laugh,64
1864,I'm so glad I slid into your DMs. 😉,88
1865,Lowkey glad we're on the same team.,27
1866,I'm completely smitten with you 💕,94
1867,"You're my biggest W, for real.",91
1868,What time is the presentation?,9
1869,You make me feel so special,93
1870,Let's hang out soon,51
1871,You have a great sense of humor,23
1872,You have such a warm personality,49
1873,Just dropping in to say hey! 👋,31
1874,"Your 'fit was fire today, no cap.",66
1875,"That was a whole mood, lol.",29
1876,Lowkey been thinking about that convo we had.,51
1877,Can we schedule a call for next week?,4
1878,"That's a slay, no cap.",26
1879,Lowkey glad we're on the same team.,26
1880,You looked fire 🔥 today,87
1881,You're really easy to talk to,55
1882,"My hands are full, can I borrow your mouth? Just kidding. Unless...?",92
1883,I love your positive energy,24
1884,You looked fire 🔥 today,72
1885,Let's hang out soon,60
1886,I think about you when I'm bored. And when I'm not. 😉,79
1887,You're very insightful,29
1888,I admire how talented you are,57
1889,You're drop-dead gorgeous 😍,97
1890,I think I'm starting to like you a lot 💕,92
1891,You're my everything ❤️💕,96
1892,Can you help me with this task?,12
1893,Have you seen the latest updates?,13
1894,"I'm not even trying to rizz you up, but you're a vibe.",52
1895,"You're my everything, periodt. ❤️",100
1896,You always make me laugh,63
1897,You look amazing in that dress,86
1898,You make work more enjoyable,69
1899,This convo is lowkey a good vibe.,17
1900,"My hands are full, can I borrow your mouth? Just kidding. Unless...?",94
1901,Let's hang out soon,45
1902,"Just saying, you're not like everyone else.",59
1903,You're a whole mood and a whole snack.,75
1904,You're a goddess 👑,100
1905,I had fun hanging out with you,54
1906,I stan your work ethic.,26
1907,You looked really cute today,81
1908,"I'm not trying to be delulu, but I think you're stunning.",72
1909,Can't believe I found someone as perfect as you.,92
1910,You're the girl of my dreams,94
1911,You're a whole W in my book.,57
1912,Looking at you makes my day better,73
1913,"I'm not gonna lie, you're pretty cool. 😉",59
1914,Can you send me the report by tonight?,4
1915,"You're a whole snack, a whole meal, a whole buffet.",98
1916,We should do this more often,48
1917,I can't stop smiling when I'm with you,74
1918,You have the most beautiful laugh,71
1919,Let me know if you need any clarification,1
1920,You looked like a whole snack today.,50
1921,Let me know if you need any clarification,15
1922,Lowkey been thinking about that convo we had.,45
1923,You make work more enjoyable,70
1924,Did you finish the homework?,3
1925,You're giving me all the feels. ❤️,76
1926,You're the girl of my dreams,92
1927,"You're not sus, you're just cool.",31
1928,You have a mad good aura.,43
1929,You're not giving basic at all.,24
1930,I really enjoy spending time with you,54
1931,Have you seen the latest updates?,0
1932,You take my breath away,95
1933,"I'm not gonna lie, you're pretty cool. 😉",66
1934,Can you help me with this task?,10
1935,I feel so comfortable around you,57
1936,I'd love to spend more time with you ❤️,96
1937,Thanks for being so helpful,31
1938,I worship the ground you walk on,97
1939,You're giving main character energy.,49
1940,We should do this more often,70
1941,Please review the attached document,11
1942,I'm highkey excited to see you.,43
1943,What time is the presentation?,1
1944,"Thanks for the tea, spill it all! ☕",23
1945,Let's discuss this in detail tomorrow,4
1946,"Your 'fit was fire today, no cap.",48
1947,Want to try that new restaurant?,66
1948,Please confirm your attendance,13
1949,Hope you're having a good week,20
1950,You looked like a whole snack today.,50
1951,Don't forget about tomorrow's meeting,0
1952,You're everything I've been looking for,96
1953,Want to try that new restaurant?,65
1954,Please review the attached document,11
1955,"I'm not even trying to rizz you up, but you're a vibe.",63
1956,You're a whole mood and a whole snack.,86
1957,The client wants to reschedule,9
1958,I really enjoy spending time with you,68
1959,"I'm not even trying to rizz you up, but you're a vibe.",67
1960,Let's go for coffee sometime ☕,56
1961,"I'm not even playing, you're a perfect 10.",88
1962,I'd love to spend more time with you ❤️,94
1963,You looked fire 🔥 today,85
1964,"Good morning, hope you have a great day!",38
1965,I'd go delulu for you.,92
1966,The client wants to reschedule,10
1967,I'd go delulu for you.,95
1968,You make work more enjoyable,65
1969,"That's a slay, no cap.",24
1970,You're such a good friend,24
1971,Lowkey been thinking about that convo we had.,53
1972,Thanks for being so helpful,39
1973,You have great taste in music,41
1974,I stan your work ethic.,24
1975,Lowkey glad we're on the same team.,36
1976,I feel so comfortable around you,44
1977,"Wow, you're absolutely gorgeous 😍",94
1978,You brighten up the room,61
1979,"If you were a test, I'd fail and still get a W because you're mine.",99
1980,That was a great presentation,30
1981,That color looks amazing on you,87
1982,What's the vibe today? 😊,24
1983,"You're a whole snack, a whole meal, a whole buffet.",100
1984,I'd go delulu for you.,93
1985,I think about you when I'm bored. And when I'm not. 😉,80
1986,I'm falling for you hard,94
1987,I'm lowkey obsessed with you.,71
1988,What's the status on that assignment?,3
1989,Let's go for coffee sometime ☕,59
1990,I really enjoy spending time with you,52
1991,Let's go for coffee sometime ☕,45
1992,I'd go delulu for you.,95
1993,You're a whole W in my book.,67
1994,"Your smile hits different, for real.",90
1995,You're a whole W in my book.,60
1996,You're irresistible 😘,98
1997,My day was mid until I saw your text.,66
1998,Please review the attached document,9
1999,"I'm on a no-rizz streak, but you're making it hard.",61
2000,You did really well on that project,20
2001,Send nudes,96
2002,sexy,90
2003,weather is so hot,
